n_iterations,n_train_samples,cluster_intersection
1,500,0.5558400799600199
1,1000,0.5721819090454773
1,2000,0.5596291854072963
1,3000,0.5585347326336831
3,500,0.5582813593203398
3,1000,0.5619635182408795
3,2000,0.5581154422788606
3,3000,0.5588680659670164
5,500,0.5608405797101449
5,1000,0.5489950024987507
5,2000,0.558135932033983
5,3000,0.5660689655172414
10,500,0.552415792103948
10,1000,0.558872563718141
10,2000,0.5583588205897051
10,3000,0.5632178910544727
15,500,0.5487426286856572
15,1000,0.5531884057971015
15,2000,0.5574662668665668
15,3000,0.5588845577211394
20,500,0.5505587206396801
20,1000,0.5541114442778611
20,2000,0.5603428285857072
20,3000,0.5596221889055473
